match_id,match_datetime,stage,fixture,player_id,player_name,nation,team,minutes,goals,assists,key_passes,dribbles,ball_recoveries,clearances,interceptions,tackles,blocks_saves,shots_on_target,yellow_cards,red_cards,own_goals,penalties_missed,penalties_saved,goals_conceded,defcons,attcons,points,processed_at
4tcpns1nwyc0jtpucgzj9dp90,2026-06-11T19:00:00+00:00,G1,Mexico vs South Africa,cyhjayqlzuido52zd79v3nd2h,K. Mudau,,South Africa,97.0,0,0,0,2,4,2,1,4,0,0,0,0,0,0,0,2,11,2,0.0,2026-06-12T14:11:11.777547+00:00
4tcpns1nwyc0jtpucgzj9dp90,2026-06-11T19:00:00+00:00,G1,Mexico vs South Africa,c23ryzsrkt28f7esqxe8dv9wp,A. Modiba,,South Africa,76.0,0,0,0,3,4,0,0,3,0,1,0,0,0,0,0,2,7,4,0.0,2026-06-12T14:11:11.777562+00:00
4tcpns1nwyc0jtpucgzj9dp90,2026-06-11T19:00:00+00:00,G1,Mexico vs South Africa,1rc9l6360pxvs4l7zc8y3yk9g,M. Mbokazi,,South Africa,97.0,0,0,1,0,3,4,1,2,1,1,0,0,0,0,0,2,11,2,0.0,2026-06-12T14:11:11.777574+00:00
4tcpns1nwyc0jtpucgzj9dp90,2026-06-11T19:00:00+00:00,G1,Mexico vs South Africa,ec43qhrcz46fwpb0mf1zkp89g,I. Okon,,South Africa,97.0,0,0,0,1,4,6,0,2,0,0,0,0,0,0,0,2,12,1,0.0,2026-06-12T14:11:11.777585+00:00
4tcpns1nwyc0jtpucgzj9dp90,2026-06-11T19:00:00+00:00,G1,Mexico vs South Africa,82zv0xzndart8qr7ovdz4lc6h,N. Sibisi,,South Africa,97.0,0,0,0,0,3,1,1,0,0,0,1,0,0,0,0,2,5,0,0.0,2026-06-12T14:11:11.777596+00:00
4tcpns1nwyc0jtpucgzj9dp90,2026-06-11T19:00:00+00:00,G1,Mexico vs South Africa,aozjar4nxm7wzvy1m3l2dxyax,T. Mokoena,,South Africa,97.0,0,0,1,2,4,1,2,0,0,0,1,0,0,0,0,2,7,3,0.0,2026-06-12T14:11:11.777607+00:00
4tcpns1nwyc0jtpucgzj9dp90,2026-06-11T19:00:00+00:00,G1,Mexico vs South Africa,7qcwyfa4ucuvxo1k2cd9oijt,Y. Sithole,,South Africa,49.0,0,0,0,0,2,0,1,0,2,0,0,1,0,0,0,1,5,0,0.0,2026-06-12T14:11:11.777619+00:00
4tcpns1nwyc0jtpucgzj9dp90,2026-06-11T19:00:00+00:00,G1,Mexico vs South Africa,21545vwheo9a30u5hgnsrecmi,L. Foster,,South Africa,55.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.0,2026-06-12T14:11:11.777631+00:00
4tcpns1nwyc0jtpucgzj9dp90,2026-06-11T19:00:00+00:00,G1,Mexico vs South Africa,150n1pkawektzsahhtc2qlfpx,I. Rayners,,South Africa,75.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2,2,0,0.0,2026-06-12T14:11:11.777642+00:00
4tcpns1nwyc0jtpucgzj9dp90,2026-06-11T19:00:00+00:00,G1,Mexico vs South Africa,7awfrx1wusdpdpo43tfmroljo,J. Adams,,South Africa,60.0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,2,1,0.0,2026-06-12T14:11:11.777654+00:00
